ID,Name,Reaction Formula,Gene Rules,Subsystem,Essentiality,LB,UB,FVA_min,FVA_max,RHEA,BioCyc,MetaNetX (MNX) Equation,KEGG Reaction,SEED Reaction,EC Number,Reactome Reaction
GPDDA2pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),g3pe_p + h2o_p --> etha_p + glyc3p_p + h_p,CIW80_05140,Glycerophospholipid Metabolism,Not essential,0.0,1000.0,0.0,3.653310876969364e-12,29322,META:RXN-14160,MNXR100411,R01470,rxn01073,3.1.4.46,
FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,CIW80_01380 or CIW80_01920,Cell Envelope Biosynthesis,Not essential,0.0,1000.0,0.0,8.676613332802121e-12,,,MNXR99144,,,,
FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,CIW80_01380 or CIW80_01920,Cell Envelope Biosynthesis,Not essential,0.0,1000.0,0.0,8.676613332801966e-12,,,MNXR99147,,,,
FE3HOXtonex,Fe(III)hydroxamine transport via ton system (extracellular),fe3hox_e + h_p --> fe3hox_p + h_c,(CIW80_25200 and CIW80_09420 and CIW80_09425) and CIW80_18515,"Transport, Outer Membrane",Not essential,0.0,1000.0,0.0,9.148784169159871e-12,,,MNXR99521,,rxn08488,,
CU2abcpp,Copper (Cu+2) ABC transporter (periplasm),atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,CIW80_11935,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,1.735322666560436e-11,10379#1,META:TRANS-RXN-178,MNXR96950,,rxn08271,3.6.3.4,R-XTR-936895
COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm),atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,CIW80_11935,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,1.7353226665604307e-11,32782#2,,MNXR96819,,rxn08239,,
NI2abcpp,Nickle (Ni+2) ABC transporter (periplasm),atp_c + h2o_c + ni2_c --> adp_c + h_c + ni2_p + pi_c,CIW80_11935,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,1.7353226665604326e-11,15560#2,,MNXR101955,,,3.6.3.24,
MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,CIW80_16570,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,1.1568817777069527e-11,10263#1,META:TRANS-RXN-250,MNXR101505,,rxn10571,3.6.3.2,
MMETtex,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),mmet_e <=> mmet_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.0,0.0,,META:TRANS-RXN0-486,MNXR101659,,rxn08945,,
FE3tex,Iron (III) transport via diffusion (extracellular to periplasm),fe3_e <=> fe3_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.008754954490879423,0.008754954500232438,34974,,MNXR99522,,rxn08492,,R-TGU-442368
MG2tex,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),mg2_e <=> mg2_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Essential,-1000.0,1000.0,0.009727104271990744,0.009727104271992014,29830,META:TRANS-RXN-141,MNXR101507,,rxn08923,,R-XTR-5339538
Zn2tex,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),zn2_e <=> zn2_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.00038235649155894907,0.00038235649069155925,29354,META:RXN0-12,MNXR105280,,rxn09391,,R-XTR-442422
CD2tex,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),cd2_e <=> cd2_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,6.072077832659575e-12,0.0,28710,META:RXN0-10,MNXR96499,,rxn08198,,
GLNabcpp,L-glutamine transport via ABC system (periplasm),atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c,CIW80_22050 and CIW80_22040 and CIW80_22045,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,0.0,29898#1,META:ABC-12-RXN,MNXR100258,,rxn11233,3.6.3.21,
GLUabcpp,L-glutamate transport via ABC system (periplasm),atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c,CIW80_21250 and CIW80_21260 and CIW80_21255 and CIW80_21245,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,2.313763555413911e-11,29038#1,META:ABC-13-RXN,MNXR100299,,rxn11235,3.6.3.21,
GLUABUTt7pp,4-aminobutyrate/glutamate antiport (periplasm),4abut_c + glu__L_p <=> 4abut_p + glu__L_c,CIW80_00420,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,6.398788947741573e-29,1000.0,28922,META:TRANS-RXN-261,MNXR100276,,rxn10136,,
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",glu__L_p + h_p <=> glu__L_c + h_c,CIW80_15645,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-1000.0,4.092726157978177e-12,,,MNXR100300,,rxn13303,,R-XTR-8875623
GLUt4pp,Na+/glutamate symport (periplasm),glu__L_p + na1_p --> glu__L_c + na1_c,CIW80_12970,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,1000.0,29034,,MNXR100285,,rxn08632,,
GLYALDtpp,Glyceraldehyde facilitated diffusion (periplasm),glyald_p <=> glyald_c,CIW80_14645,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,6.220747908121785e-13,0.0,,,MNXR100311,,rxn10164,,
EX_etha_e,Ethanolamine exchange,etha_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,7.488743650335294e-13,32750,META:TRANS-RXN0-476,MNXR97974,,rxn10841,,
ACGK,Acetylglutamate kinase,acglu_c + atp_c --> acg5p_c + adp_c,CIW80_14825,Arginine and Proline Metabolism,Essential,0.0,1000.0,0.33166566303408485,0.33166566303282674,14632,META:ACETYLGLUTKIN-RXN,MNXR95256,R02649,rxn01917,2.7.2.8,
LCTSt3ipp,Lactose transport via proton aniport (periplasm),h_p + lcts_c --> h_c + lcts_p,CIW80_00590 or CIW80_04680,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-9.837430725440248e-12,28866,,MNXR101026,,rxn08779,,
ARBt3ipp,L-arabinose transport via proton antiport (periplasm),arab__L_c + h_p --> arab__L_p + h_c,CIW80_00590,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-9.837430725440284e-12,,META:TRANS-RXN-40,MNXR95937,,,,
14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c,CIW80_15295 and CIW80_15305 and CIW80_15315 and CIW80_15300,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,0.0,,,MNXR94693,,,,
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",14glucan_e --> 14glucan_p,CIW80_15320,"Transport, Outer Membrane",Not essential,0.0,1000.0,7.590094978099058e-14,0.0,,,MNXR94694,,,2.4.1.161,
DHPTPE,Dihydroneopterin triphosphate 2'-epimerase,ahdt_c <=> dhmptp_c,CIW80_05450,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,0.0,,,MNXR142300,,rxn08341,5.1.99.d,
NADPHQR2,NADPH Quinone Reductase (Ubiquinone-8),h_c + nadph_c + q8_c --> nadp_c + q8h2_c,CIW80_09560,Oxidative Phosphorylation,Not essential,0.0,1000.0,0.0,-3.934972290176142e-12,29114,,MNXR101891,,rxn08977,,
NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),h_c + mqn8_c + nadph_c --> mql8_c + nadp_c,CIW80_09560,Oxidative Phosphorylation,Not essential,0.0,1000.0,0.0,-3.934972290176142e-12,29118,,MNXR101892,,rxn08978,,
NADPHQR4,NADPH Quinone Reductase (2-Demethylmenaquinone-8),2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c,CIW80_09560,Oxidative Phosphorylation,Not essential,0.0,1000.0,0.0,-3.9349722901761274e-12,30514,,MNXR101893,,rxn08979,,
GLBRAN2,"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",glycogen_c --> bglycogen_c,CIW80_11740,Glycolysis/Gluconeogenesis,Not essential,0.0,1000.0,0.0,999.999999999995,,,MNXR100155,,rxn08605,2.4.1.18,
ASR,Arsenate reductase,aso4_c + 2.0 gthrd_c --> aso3_c + gthox_c + h2o_c,CIW80_23930 and CIW80_12120,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,0.0,,,MNXR96113,,rxn08171,1.20.4.1,
ASO3tex,Arsenite transport via diffusion (extracellular to periplasm),aso3_e <=> aso3_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.0,0.0,,META:TRANS-RXN0-551,MNXR96073,,rxn08164,,
MANGLYCtex,2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm),manglyc_e <=> manglyc_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.0,0.0,,,MNXR101395,,rxn08883,,
EX_frulys_e,Fructoselysine exchange,frulys_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,28457,META:TRANS-RXN0-417,MNXR99657,,rxn08534,,
METOX1s,Methionine oxidation (spontaneous),h2o2_c + met__L_c --> h2o_c + metsox_S__L_c,s0001,Methionine Metabolism,Not essential,0.0,1000.0,0.0,-1.5134508808369488e-12,,,MNXR101479,,rxn09942,,
METOX2s,Methionine oxidation 2 (spontaneous),h2o2_c + met__L_c --> h2o_c + metsox_R__L_c,s0001,Methionine Metabolism,Not essential,0.0,1000.0,0.0,-1.5134508808369488e-12,,META:RXN0-7188,MNXR138590,,rxn08913,,
FRUURt2rpp,"D-fructuronate transport via proton symport, reversible (periplasm)",fruur_p + h_p <=> fruur_c + h_c,CIW80_17240,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,0.0,0.0,28874,META:TRANS-RXN-81,MNXR99658,,rxn08538,,
FRUURtex,D-fructuronate transport via diffusion (extracellular),fruur_e <=> fruur_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,0.0,0.0,,,MNXR99659,,rxn08539,,
ECAtpp,"Enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)",unagamuf_c --> unagamuf_p,CIW80_13820,Lipopolysaccharide Biosynthesis / Recycling,Not essential,0.0,1000.0,0.0,0.0,,META:TRANS-RXN0-279,MNXR97878,,rxn08411,,
O16GLCT2,Glucosyltransferase II (LPS O16 antigen biosynthesis),gfgaragund_c + udpg_c --> h_c + o16aund_c + udp_c,,Lipopolysaccharide Biosynthesis / Recycling,Not essential,0.0,1000.0,0.0,-8.986224926079982e-13,,,MNXR143259,,rxn09029,,
GLYCAt2rpp,"D-glycerate transport via proton symport, reversible (periplasm)",glyc__R_p + h_p <=> glyc__R_c + h_c,CIW80_10110 or CIW80_07620,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,8.674394260684453e-13,0.0,,,MNXR100322,,rxn13711,,
GLYCAtex,D-glycerate transport via diffusion (extracellular to periplasm),glyc__R_e <=> glyc__R_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,8.674394260684452e-13,0.0,,META:TRANS-RXN0-523,MNXR100323,,rxn08645,,
EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) exchange,enlipa_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,-5.6695425401135257e-14,,,MNXR97923,,rxn08419,,
EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) exchange,hacolipa_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,,,MNXR143008,,,,
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c,CIW80_24820,Murein Recycling,Not essential,0.0,1000.0,0.0,-3.593119335160891e-13,,,MNXR95547,,rxn08077,,
4PCP,"Tetrapeptide L,D-carboxypeptidase",LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c,CIW80_24820,Murein Recycling,Not essential,0.0,1000.0,0.0,-3.495472691314206e-13,,,MNXR95049,,rxn08007,,
4PCPpp,"Tetrapeptide L,D-carboxypeptidase (periplasm)",LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,CIW80_04710,Murein Recycling,Not essential,0.0,1000.0,0.0,-3.424136513940447e-13,,,MNXR95049,,rxn08007,,
FALDH2,Formaldehyde dehydrogenase,hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c,CIW80_19915,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,0.0,19988,META:RXN0-276,MNXR99237,R06983,rxn08460,1.1.1.284,R-XTR-5692237
GLYBabcpp,Glycine betaine transport via ABC system (periplasm),atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c,(CIW80_04445 and CIW80_04435 and CIW80_04440 and CIW80_04430) or (CIW80_07050 and CIW80_07060 and CIW80_07055),"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-2.6926270988915674e-12,32786#1,META:TRANS-RXN-283,MNXR100314,,rxn11216,,
GLYC3Pt6pp,Glycerol-3-phosphate : phosphate antiporter (periplasm),glyc3p_p + pi_c --> glyc3p_c + pi_p,CIW80_05145,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-5.562284170193135e-13,29018,META:TRANS-RXN-22,MNXR100321,,rxn10165,,
GLYCLTt4pp,Glycolate transport via sodium symport (periplasm),glyclt_p + na1_p --> glyclt_c + na1_c,CIW80_15580,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,1000.0,,,MNXR100335,,rxn08652,,
GLYCtpp,Glycerol transport via channel (periplasm),glyc_c <=> glyc_p,s0001 or CIW80_14645,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,1.7294759747177455e-13,-1.700656069025489e-12,29678,META:TRANS-RXN-131,MNXR100343,,rxn08658,,R-XTR-507871
H2Otpp,H2O transport via diffusion (periplasm),h2o_p <=> h2o_c,s0001 or CIW80_22390,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-46.6728634413925,-42.100644899486284,29670,META:TRANS-RXN0-547,MNXR98641,,rxn09874,,R-XTR-507870
HISabcpp,L-histidine transport via ABC system (periplasm),atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,CIW80_05465 and CIW80_05460 and CIW80_05470 and CIW80_05475,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-6.772194736418084e-12,29894#1,META:ABC-14-RXN,MNXR100644,,rxn08718,3.6.3.21,
HISt2rpp,L-histidine reversible transport via proton symport (periplasm),h_p + his__L_p <=> h_c + his__L_c,CIW80_18275,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-2.2901422968206112e-12,0.0,37050,,MNXR100645,,rxn11327,,
CBIAT,Cobinamide adenyltransferase,atp_c + cbi_c + h_c <=> adocbi_c + pppi_c,CIW80_25290,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,-6.148564318282689e-18,,META:BTUR2-RXN,MNXR96465,,,2.5.1.17,
LYSabcpp,L-lysine transport via ABC system (periplasm),atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,CIW80_05470 and CIW80_05460 and CIW80_05480 and CIW80_05465,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-1.6389804781527089e-12,29890#1,META:ABC-3-RXN,MNXR101265,,rxn08853,3.6.3.21,
COBALT2tex,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),cobalt2_e <=> cobalt2_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Essential,-1000.0,1000.0,2.8032000783835005e-05,2.803200074835924e-05,28581,META:TRANS-RXN-141A,MNXR96821,,rxn10474,,
PPDOy,"Propane-1,2-diol:NADP+ 1-oxidoreductase",h_c + lald__D_c + nadph_c --> 12ppd__R_c + nadp_c,CIW80_19820,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,-8.194902390763397e-13,,META:RXN-15743,MNXR103108,,,1.1.1,
FALGTHLs,Formaldehyde glutathione ligase (spontaneous),fald_c + gthrd_c <=> hmgth_c,s0001,Cofactor and Prosthetic Group Biosynthesis,Not essential,-1000.0,1000.0,0.0,-5.512085997170763e-13,22491,META:RXN-2961,MNXR99239,R06982,rxn08463,4.4.1.22,
NTD12pp,5'-nucleotidase (dIMP) (periplasm),dimp_p + h2o_p --> din_p + pi_p,CIW80_20545 or CIW80_15490,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,-1.0569887523787475e-13,0.0,29386,,MNXR102031,,rxn09010,,
PPA2,Inorganic triphosphatase,h2o_c + pppi_c --> h_c + pi_c + ppi_c,CIW80_06310 or CIW80_07420,Anaplerotic Reactions,Not essential,0.0,1000.0,0.0,-1.1738904523865908e-12,14160,META:TRIPHOSPHATASE-RXN,MNXR103069,R00138,rxn00106,3.6.1.25,
DIMPtex,DIMP transport via diffusion (extracellular to periplasm),dimp_e <=> dimp_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,-1.0569887523787473e-13,0.0,,,MNXR97463,,rxn08342,,
3NTD7pp,3'-nucleotidase (AMP) (periplasm),3amp_p + h2o_p --> adn_p + pi_p,CIW80_16440 or CIW80_20025,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,-9.957140420959217e-14,0.0,27901,META:RXN-14126,MNXR94935,R01562,rxn01139,3.1.3.6,
3NTD4pp,3'-nucleotidase (CMP) (periplasm),3cmp_p + h2o_p --> cytd_p + pi_p,CIW80_16440 or CIW80_20025 or CIW80_20025,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,0.0,27897,META:RXN-14090,MNXR94934,R02370,rxn01704,3.1.3.6,
3NTD2pp,3'-nucleotidase (UMP) (periplasm),3ump_p + h2o_p --> pi_p + uri_p,CIW80_16440 or CIW80_20025,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,0.0,27893,META:RXN-14115,MNXR94932,R01877,rxn01367,3.1.3.6,
3NTD9pp,3'-nucleotidase (GMP) (periplasm),3gmp_p + h2o_p --> gsn_p + pi_p,CIW80_16440 or CIW80_20025,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,-9.54225957008592e-14,0.0,27865,META:RXN-14124,MNXR94936,R02148,rxn01549,3.1.3.6,
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",23camp_p + h2o_p --> 3amp_p + h_p,CIW80_16440,Nucleotide Salvage Pathway,Not essential,0.0,1000.0,0.0,0.0,27889,META:RXN-14113,MNXR94722,R03537,rxn02521,3.1.4.16,
GALTptspp,Galactitol transport via PEP:Pyr PTS (periplasm),galt_p + pep_c --> galt1p_c + pyr_c,CIW80_04240 and CIW80_05960 and CIW80_04250 and CIW80_04245 and CIW80_05965,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,0.0,,,MNXR100018,,rxn08586,,
GALURt2rpp,"D-galacturonate transport via proton symport, reversible (periplasm)",galur_p + h_p <=> galur_c + h_c,CIW80_09970,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,0.0,0.0,,,MNXR100020,,rxn08588,,
GLCNt2rpp,"D-gluconate transport via proton symport, reversible (periplasm)",glcn_p + h_p <=> glcn_c + h_c,CIW80_17240 or CIW80_11765 or CIW80_11615,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-4.580284593641246e-13,-8.711243338958338e-13,28834,META:TRANS-RXN0-209,MNXR100209,,rxn08609,,
GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm),glc__D_p + pep_c --> g6p_c + pyr_c,(CIW80_00940 and CIW80_05960 and CIW80_05970 and CIW80_05965) or (CIW80_24115 and CIW80_05965 and CIW80_05960 and CIW80_05970) or (CIW80_02000 and CIW80_05960 and CIW80_01995 and CIW80_01990 and CIW80_05965),"Transport, Inner Membrane",Not essential,0.0,1000.0,19.99999999999313,20.0,,,MNXR100237,,rxn08612,,
GLCRt2rpp,"D-glucarate transport via proton symport, reversible (periplasm)",glcr_p + h_p <=> glcr_c + h_c,CIW80_10110 or CIW80_07620,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-5.725355742051551e-13,0.0,,,MNXR100221,,rxn08613,,
GLCt2pp,D-glucose transport in via proton symport (periplasm),glc__D_p + h_p --> glc__D_c + h_c,CIW80_08475,"Transport, Inner Membrane",Not essential,0.0,1000.0,0.0,-5.887707261648072e-12,,META:RXN0-7077,MNXR100238,,rxn08616,,
GLCURt2rpp,"D-glucuronate transport via proton symport, reversible (periplasm)",glcur_p + h_p <=> glcur_c + h_c,CIW80_14555 or CIW80_09970,"Transport, Inner Membrane",Not essential,-1000.0,1000.0,-6.870426890461846e-13,0.0,28958,,MNXR100234,,rxn08622,,
ACMUMptspp,N-acetylmuramate transport via PEP:Pyr PTS (periplasm),acmum_p + pep_c --> acmum6p_c + pyr_c,CIW80_05970 and CIW80_05965 and CIW80_05960 and CIW80_06020,"Transport, Inner Membrane",Not essential,0.0,1000.0,-3.435213445230911e-13,0.0,,,MNXR95278,,rxn08048,,
EX_h2o_e,H2O exchange,h2o_e <=> ,,Extracellular exchange,Not essential,-1000,1000.0,42.100644899457066,46.672863441399166,29670,META:TRANS-RXN0-547,MNXR98641,,rxn09874,,R-XTR-507870
EX_ala__D_e,D-Alanine exchange,ala__D_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,2.6468611754985817e-12,,,MNXR95702,,rxn10991,,
HSTPT,Histidinol-phosphate transaminase,glu__L_c + imacp_c --> akg_c + hisp_c,CIW80_03905,Histidine Metabolism,Essential,0.0,1000.0,0.10622782761035841,0.106227827610579,23747,META:HISTAMINOTRANS-RXN,MNXR95852,R03243,rxn02320,2.6.1.9,
THDPS,Tetrahydrodipicolinate succinylase,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,CIW80_18590,Threonine and Lysine Metabolism,Essential,0.0,1000.0,0.4159377063505124,0.41593770635095356,17328,META:TETHYDPICSUCC-RXN,MNXR104806,R04365,rxn03031,2.3.1.117,
ACONMT,Trans-aconitate methyltransferase,acon_T_c + amet_c --> aconm_c + ahcys_c,CIW80_00530,Unassigned,Not essential,0.0,1000.0,0.0,0.0,14972,META:RXN0-2441,MNXR95383,R05763,rxn04016,2.1.1.144,
XTSNtex,Xanthosine transport via diffusion (extracellular to periplasm),xtsn_e <=> xtsn_p,CIW80_19480 or CIW80_22660 or CIW80_25725 or CIW80_05020,"Transport, Outer Membrane Porin",Not essential,-1000.0,1000.0,-1.164479133976588e-13,0.0,,,MNXR105247,,rxn09382,,
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,45259,,MNXR99101,,rxn09848,,
EX_glcr_e,D-Glucarate exchange,glcr_e --> ,,Extracellular exchange,Not essential,0,1000.0,0.0,0.0,28477,META:TRANS-RXN0-204,MNXR100222,,rxn12442,,
GNK,Gluconokinase,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,CIW80_11770,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,2.646861175498574e-12,19436,META:GLUCONOKIN-RXN,MNXR100390,R01737,rxn01275,2.7.1.12,
HMBS,Hydroxymethylbilane synthase,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,CIW80_13890,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.0005000908939836164,0.0005000908940365537,13188,META:OHMETHYLBILANESYN-RXN,MNXR100658,R00084,rxn00060,4.3.1.8,R-XTR-189406
RMK,Rhamnulokinase,atp_c + rml_c --> adp_c + h_c + rml1p_c,CIW80_14525,Alternate Carbon Metabolism,Not essential,0.0,1000.0,0.0,0.0,20120,,MNXR104039,R03014,rxn02161,2.7.1.5,
FHL,Formate-hydrogen lyase,for_c + h_c --> co2_c + h2_c,CIW80_15680 and (CIW80_07290 and CIW80_07295 and CIW80_07300 and CIW80_07280 and CIW80_07285 and CIW80_07275),Pyruvate Metabolism,Not essential,0.0,0.0,0.0,0.0,27613,META:FHLMULTI-RXN,MNXR99594,,rxn08518,,
HYPOE,Hypothetical enyme,h2o_c + pyam5p_c --> pi_c + pydam_c,,Cofactor and Prosthetic Group Biosynthesis,Not essential,0.0,1000.0,0.0,2.6468611754985744e-12,25138,META:RXN-14046,MNXR100763,R02494,rxn01808,3.1.3.74,
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,CIW80_07435,Cofactor and Prosthetic Group Biosynthesis,Essential,0.0,1000.0,0.002678737994903221,0.0026787379953090123,13432,META:2.7.7.60-RXN,MNXR96807,R05633,rxn03907,2.7.7.60,
GLUDy,Glutamate dehydrogenase (NADP),glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,CIW80_01690 or (CIW80_10545 and CIW80_10540),Glutamate Metabolism,Not essential,-1000.0,1000.0,-9.527655465136803,-9.527655465130577,11615,META:GLUTDEHYD-RXN,MNXR100086,R00248,rxn00184,1.4.1.4,
ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)",atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_p,CIW80_11935,Inorganic Ion Transport and Metabolism,Not essential,0.0,1000.0,0.0,2.6468611754985772e-12,20624,META:RXN0-5205,MNXR105277,,rxn13918,3.6.3.5,
GLYCLTDy,Glycolate dehydrogenase (NADP),glx_c + h_c + nadph_c --> glyclt_c + nadp_c,CIW80_23760 or CIW80_12485,Glyoxylate Metabolism,Not essential,0.0,1000.0,0.0,2.117488940398843e-12,10995,META:GLYOXYLATE-REDUCTASE-NADP+-RXN,MNXR100332,R00465,rxn00324,1.1.1.79,R-XTR-389826
LYSDC,Lysine decarboxylase,h_c + lys__L_c --> 15dap_c + co2_c,CIW80_18695 or CIW80_15965,Threonine and Lysine Metabolism,Not essential,0.0,1000.0,0.0,4.4114352924976343e-13,22355,META:LYSDECARBOX-RXN,MNXR101256,R00462,rxn00322,4.1.1.18,
DAAD,D-Amino acid dehydrogenase,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,CIW80_24805,Alanine and Aspartate Metabolism,Not essential,0.0,1000.0,0.0,5.293722350997364e-12,,,MNXR97073,,rxn08291,1.4.99.1,
